Extract Name	Protocol Ref	Assay Name	Protocol Ref	Data Transformation Name
TgDgVi4 (DNA extract)	RFLP assay	TgDgVi4 (RFLP assay)	data transformation	TgDgVi4 (RFLPGenotype)
TgDgSl_4 (DNA extract)	RFLP assay	TgDgSl_4 (RFLP assay)	data transformation	TgDgSl_4 (RFLPGenotype)
TgDgSl_11 (DNA extract)	RFLP assay	TgDgSl_11 (RFLP assay)	data transformation	TgDgSl_11 (RFLPGenotype)
TgDgSl_12 (DNA extract)	RFLP assay	TgDgSl_12 (RFLP assay)	data transformation	TgDgSl_12 (RFLPGenotype)
TgDgSl_13 (DNA extract)	RFLP assay	TgDgSl_13 (RFLP assay)	data transformation	TgDgSl_13 (RFLPGenotype)
TgDgSl_14 (DNA extract)	RFLP assay	TgDgSl_14 (RFLP assay)	data transformation	TgDgSl_14 (RFLPGenotype)
TgDgSl_16 (DNA extract)	RFLP assay	TgDgSl_16 (RFLP assay)	data transformation	TgDgSl_16 (RFLPGenotype)
TgDgSl_18 (DNA extract)	RFLP assay	TgDgSl_18 (RFLP assay)	data transformation	TgDgSl_18 (RFLPGenotype)
TgDgSl_22 (DNA extract)	RFLP assay	TgDgSl_22 (RFLP assay)	data transformation	TgDgSl_22 (RFLPGenotype)
TgDgSl_23 (DNA extract)	RFLP assay	TgDgSl_23 (RFLP assay)	data transformation	TgDgSl_23 (RFLPGenotype)
FUK (DNA extract)	RFLP assay	FUK (RFLP assay)	data transformation	FUK (RFLPGenotype)
Tg132 (DNA extract)	RFLP assay	Tg132 (RFLP assay)	data transformation	Tg132 (RFLPGenotype)
TRK1 (DNA extract)	RFLP assay	TRK1 (RFLP assay)	data transformation	TRK1 (RFLPGenotype)
ZS (DNA extract)	RFLP assay	ZS (RFLP assay)	data transformation	ZS (RFLPGenotype)
SH (DNA extract)	RFLP assay	SH (RFLP assay)	data transformation	SH (RFLPGenotype)
