Extract Name	Protocol Ref	Assay Name	Protocol Ref	Data Transformation Name
TgGoatUS5 (DNA extract)	RFLP assay	TgGoatUS5 (RFLP assay)	data transformation	TgGoatUS5 (RFLPGenotype)
TgGoatUS20 (DNA extract)	RFLP assay	TgGoatUS20 (RFLP assay)	data transformation	TgGoatUS20 (RFLPGenotype)
TgGoatUS3 (DNA extract)	RFLP assay	TgGoatUS3 (RFLP assay)	data transformation	TgGoatUS3 (RFLPGenotype)
TgGoatUS26 (DNA extract)	RFLP assay	TgGoatUS26 (RFLP assay)	data transformation	TgGoatUS26 (RFLPGenotype)
TgGoatUS8 (DNA extract)	RFLP assay	TgGoatUS8 (RFLP assay)	data transformation	TgGoatUS8 (RFLPGenotype)
TgGoUs1 (DNA extract)	RFLP assay	TgGoUs1 (RFLP assay)	data transformation	TgGoUs1 (RFLPGenotype)
TgGoMs1 (DNA extract)	RFLP assay	TgGoMs1 (RFLP assay)	data transformation	TgGoMs1 (RFLPGenotype)
TgBrCoUS1 (DNA extract)	RFLP assay	TgBrCoUS1 (RFLP assay)	data transformation	TgBrCoUS1 (RFLPGenotype)
TgBjCoUS3 (DNA extract)	RFLP assay	TgBjCoUS3 (RFLP assay)	data transformation	TgBjCoUS3 (RFLPGenotype)
TgBsCoUS2 (DNA extract)	RFLP assay	TgBsCoUS2 (RFLP assay)	data transformation	TgBsCoUS2 (RFLPGenotype)
TgBsCoUS3 (DNA extract)	RFLP assay	TgBsCoUS3 (RFLP assay)	data transformation	TgBsCoUS3 (RFLPGenotype)
TgBlUS1 (DNA extract)	RFLP assay	TgBlUS1 (RFLP assay)	data transformation	TgBlUS1 (RFLPGenotype)
TgBjUS1 (DNA extract)	RFLP assay	TgBjUS1 (RFLP assay)	data transformation	TgBjUS1 (RFLPGenotype)
TgBsCoUS1 (DNA extract)	RFLP assay	TgBsCoUS1 (RFLP assay)	data transformation	TgBsCoUS1 (RFLPGenotype)
PE (DNA extract)	RFLP assay	PE (RFLP assay)	data transformation	PE (RFLPGenotype)
PIH (DNA extract)	RFLP assay	PIH (RFLP assay)	data transformation	PIH (RFLPGenotype)
VEG (DNA extract)	RFLP assay	VEG (RFLP assay)	data transformation	VEG (RFLPGenotype)
EDZ (DNA extract)	RFLP assay	EDZ (RFLP assay)	data transformation	EDZ (RFLPGenotype)
STRL (DNA extract)	RFLP assay	STRL (RFLP assay)	data transformation	STRL (RFLPGenotype)
ASH (DNA extract)	RFLP assay	ASH (RFLP assay)	data transformation	ASH (RFLPGenotype)
ARI (DNA extract)	RFLP assay	ARI (RFLP assay)	data transformation	ARI (RFLPGenotype)
RAY (DNA extract)	RFLP assay	RAY (RFLP assay)	data transformation	RAY (RFLPGenotype)
RH88 (DNA extract)	RFLP assay	RH88 (RFLP assay)	data transformation	RH88 (RFLPGenotype)
VEL (DNA extract)	RFLP assay	VEL (RFLP assay)	data transformation	VEL (RFLPGenotype)
CAST (DNA extract)	RFLP assay	CAST (RFLP assay)	data transformation	CAST (RFLPGenotype)
ROD (DNA extract)	RFLP assay	ROD (RFLP assay)	data transformation	ROD (RFLPGenotype)
SOU (DNA extract)	RFLP assay	SOU (RFLP assay)	data transformation	SOU (RFLPGenotype)
TgFsUS1 (DNA extract)	RFLP assay	TgFsUS1 (RFLP assay)	data transformation	TgFsUS1 (RFLPGenotype)
TgMmUs2 (DNA extract)	RFLP assay	TgMmUs2 (RFLP assay)	data transformation	TgMmUs2 (RFLPGenotype)
TgWfmMt1 (DNA extract)	RFLP assay	TgWfmMt1 (RFLP assay)	data transformation	TgWfmMt1 (RFLPGenotype)
TgWfmMt2 (DNA extract)	RFLP assay	TgWfmMt2 (RFLP assay)	data transformation	TgWfmMt2 (RFLPGenotype)
TgMmUs6 (DNA extract)	RFLP assay	TgMmUs6 (RFLP assay)	data transformation	TgMmUs6 (RFLPGenotype)
TgMmUs1 (DNA extract)	RFLP assay	TgMmUs1 (RFLP assay)	data transformation	TgMmUs1 (RFLPGenotype)
TgMmUs3 (DNA extract)	RFLP assay	TgMmUs3 (RFLP assay)	data transformation	TgMmUs3 (RFLPGenotype)
TgMmUs4 (DNA extract)	RFLP assay	TgMmUs4 (RFLP assay)	data transformation	TgMmUs4 (RFLPGenotype)
TgMmUs5 (DNA extract)	RFLP assay	TgMmUs5 (RFLP assay)	data transformation	TgMmUs5 (RFLPGenotype)
TgOpGa1 (DNA extract)	RFLP assay	TgOpGa1 (RFLP assay)	data transformation	TgOpGa1 (RFLPGenotype)
TgTaUS1 (DNA extract)	RFLP assay	TgTaUS1 (RFLP assay)	data transformation	TgTaUS1 (RFLPGenotype)
TgPgUs17 (DNA extract)	RFLP assay	TgPgUs17 (RFLP assay)	data transformation	TgPgUs17 (RFLPGenotype)
TgPgUs19 (DNA extract)	RFLP assay	TgPgUs19 (RFLP assay)	data transformation	TgPgUs19 (RFLPGenotype)
TgPgUs21 (DNA extract)	RFLP assay	TgPgUs21 (RFLP assay)	data transformation	TgPgUs21 (RFLPGenotype)
TgPgUs22 (DNA extract)	RFLP assay	TgPgUs22 (RFLP assay)	data transformation	TgPgUs22 (RFLPGenotype)
TgPgUs23 (DNA extract)	RFLP assay	TgPgUs23 (RFLP assay)	data transformation	TgPgUs23 (RFLPGenotype)
TgPgUs24 (DNA extract)	RFLP assay	TgPgUs24 (RFLP assay)	data transformation	TgPgUs24 (RFLPGenotype)
TgPgUs28 (DNA extract)	RFLP assay	TgPgUs28 (RFLP assay)	data transformation	TgPgUs28 (RFLPGenotype)
TgPgUs29 (DNA extract)	RFLP assay	TgPgUs29 (RFLP assay)	data transformation	TgPgUs29 (RFLPGenotype)
TgPgUs30 (DNA extract)	RFLP assay	TgPgUs30 (RFLP assay)	data transformation	TgPgUs30 (RFLPGenotype)
TgPgUs31 (DNA extract)	RFLP assay	TgPgUs31 (RFLP assay)	data transformation	TgPgUs31 (RFLPGenotype)
TgPgUs33 (DNA extract)	RFLP assay	TgPgUs33 (RFLP assay)	data transformation	TgPgUs33 (RFLPGenotype)
TgPgUs34 (DNA extract)	RFLP assay	TgPgUs34 (RFLP assay)	data transformation	TgPgUs34 (RFLPGenotype)
TgPgUs35 (DNA extract)	RFLP assay	TgPgUs35 (RFLP assay)	data transformation	TgPgUs35 (RFLPGenotype)
TgPgUs38 (DNA extract)	RFLP assay	TgPgUs38 (RFLP assay)	data transformation	TgPgUs38 (RFLPGenotype)
TgPgUs43 (DNA extract)	RFLP assay	TgPgUs43 (RFLP assay)	data transformation	TgPgUs43 (RFLPGenotype)
TgPgUs50 (DNA extract)	RFLP assay	TgPgUs50 (RFLP assay)	data transformation	TgPgUs50 (RFLPGenotype)
TgPgUs51 (DNA extract)	RFLP assay	TgPgUs51 (RFLP assay)	data transformation	TgPgUs51 (RFLPGenotype)
TgPgUs52 (DNA extract)	RFLP assay	TgPgUs52 (RFLP assay)	data transformation	TgPgUs52 (RFLPGenotype)
TgPgUs53 (DNA extract)	RFLP assay	TgPgUs53 (RFLP assay)	data transformation	TgPgUs53 (RFLPGenotype)
TgPgUs54 (DNA extract)	RFLP assay	TgPgUs54 (RFLP assay)	data transformation	TgPgUs54 (RFLPGenotype)
TgPgUs56 (DNA extract)	RFLP assay	TgPgUs56 (RFLP assay)	data transformation	TgPgUs56 (RFLPGenotype)
TgPgUs62 (DNA extract)	RFLP assay	TgPgUs62 (RFLP assay)	data transformation	TgPgUs62 (RFLPGenotype)
TgPgUs63 (DNA extract)	RFLP assay	TgPgUs63 (RFLP assay)	data transformation	TgPgUs63 (RFLPGenotype)
TgPgUs64 (DNA extract)	RFLP assay	TgPgUs64 (RFLP assay)	data transformation	TgPgUs64 (RFLPGenotype)
TgPgUs66 (DNA extract)	RFLP assay	TgPgUs66 (RFLP assay)	data transformation	TgPgUs66 (RFLPGenotype)
TgPgUs67 (DNA extract)	RFLP assay	TgPgUs67 (RFLP assay)	data transformation	TgPgUs67 (RFLPGenotype)
TgPgUs68 (DNA extract)	RFLP assay	TgPgUs68 (RFLP assay)	data transformation	TgPgUs68 (RFLPGenotype)
TgPgUs72 (DNA extract)	RFLP assay	TgPgUs72 (RFLP assay)	data transformation	TgPgUs72 (RFLPGenotype)
TgPgUs73 (DNA extract)	RFLP assay	TgPgUs73 (RFLP assay)	data transformation	TgPgUs73 (RFLPGenotype)
TgPgUs74 (DNA extract)	RFLP assay	TgPgUs74 (RFLP assay)	data transformation	TgPgUs74 (RFLPGenotype)
TgPgUs77 (DNA extract)	RFLP assay	TgPgUs77 (RFLP assay)	data transformation	TgPgUs77 (RFLPGenotype)
TgPgUs81 (DNA extract)	RFLP assay	TgPgUs81 (RFLP assay)	data transformation	TgPgUs81 (RFLPGenotype)
TgPgUs83 (DNA extract)	RFLP assay	TgPgUs83 (RFLP assay)	data transformation	TgPgUs83 (RFLPGenotype)
TgPgUs85 (DNA extract)	RFLP assay	TgPgUs85 (RFLP assay)	data transformation	TgPgUs85 (RFLPGenotype)
TgPgUs86 (DNA extract)	RFLP assay	TgPgUs86 (RFLP assay)	data transformation	TgPgUs86 (RFLPGenotype)
TgPgUs88 (DNA extract)	RFLP assay	TgPgUs88 (RFLP assay)	data transformation	TgPgUs88 (RFLPGenotype)
TgPgUs91 (DNA extract)	RFLP assay	TgPgUs91 (RFLP assay)	data transformation	TgPgUs91 (RFLPGenotype)
TgPgUs94 (DNA extract)	RFLP assay	TgPgUs94 (RFLP assay)	data transformation	TgPgUs94 (RFLPGenotype)
TgPgUs95 (DNA extract)	RFLP assay	TgPgUs95 (RFLP assay)	data transformation	TgPgUs95 (RFLPGenotype)
TgPgUs98 (DNA extract)	RFLP assay	TgPgUs98 (RFLP assay)	data transformation	TgPgUs98 (RFLPGenotype)
TgPgUs99 (DNA extract)	RFLP assay	TgPgUs99 (RFLP assay)	data transformation	TgPgUs99 (RFLPGenotype)
TgPgUs129 (DNA extract)	RFLP assay	TgPgUs129 (RFLP assay)	data transformation	TgPgUs129 (RFLPGenotype)
TgPgUs137 (DNA extract)	RFLP assay	TgPgUs137 (RFLP assay)	data transformation	TgPgUs137 (RFLPGenotype)
TgPgUs160 (DNA extract)	RFLP assay	TgPgUs160 (RFLP assay)	data transformation	TgPgUs160 (RFLPGenotype)
TgPgUs161 (DNA extract)	RFLP assay	TgPgUs161 (RFLP assay)	data transformation	TgPgUs161 (RFLPGenotype)
TgPgUs163 (DNA extract)	RFLP assay	TgPgUs163 (RFLP assay)	data transformation	TgPgUs163 (RFLPGenotype)
TgPgUs165 (DNA extract)	RFLP assay	TgPgUs165 (RFLP assay)	data transformation	TgPgUs165 (RFLPGenotype)
TgPgUs169 (DNA extract)	RFLP assay	TgPgUs169 (RFLP assay)	data transformation	TgPgUs169 (RFLPGenotype)
TgPgUs170 (DNA extract)	RFLP assay	TgPgUs170 (RFLP assay)	data transformation	TgPgUs170 (RFLPGenotype)
TgPgUs172 (DNA extract)	RFLP assay	TgPgUs172 (RFLP assay)	data transformation	TgPgUs172 (RFLPGenotype)
TgPgUs178 (DNA extract)	RFLP assay	TgPgUs178 (RFLP assay)	data transformation	TgPgUs178 (RFLPGenotype)
TgPigUS183 (DNA extract)	RFLP assay	TgPigUS183 (RFLP assay)	data transformation	TgPigUS183 (RFLPGenotype)
TgPigUS184 (DNA extract)	RFLP assay	TgPigUS184 (RFLP assay)	data transformation	TgPigUS184 (RFLPGenotype)
TgPigUS185 (DNA extract)	RFLP assay	TgPigUS185 (RFLP assay)	data transformation	TgPigUS185 (RFLPGenotype)
TgPigUS186 (DNA extract)	RFLP assay	TgPigUS186 (RFLP assay)	data transformation	TgPigUS186 (RFLPGenotype)
TgPigUS187 (DNA extract)	RFLP assay	TgPigUS187 (RFLP assay)	data transformation	TgPigUS187 (RFLPGenotype)
TgPigUS188 (DNA extract)	RFLP assay	TgPigUS188 (RFLP assay)	data transformation	TgPigUS188 (RFLPGenotype)
TgPigUS189 (DNA extract)	RFLP assay	TgPigUS189 (RFLP assay)	data transformation	TgPigUS189 (RFLPGenotype)
TgPigUS190 (DNA extract)	RFLP assay	TgPigUS190 (RFLP assay)	data transformation	TgPigUS190 (RFLPGenotype)
TgPigUS191 (DNA extract)	RFLP assay	TgPigUS191 (RFLP assay)	data transformation	TgPigUS191 (RFLPGenotype)
TgPigUS193 (DNA extract)	RFLP assay	TgPigUS193 (RFLP assay)	data transformation	TgPigUS193 (RFLPGenotype)
TgPigUS194 (DNA extract)	RFLP assay	TgPigUS194 (RFLP assay)	data transformation	TgPigUS194 (RFLPGenotype)
TgPgUs1 (DNA extract)	RFLP assay	TgPgUs1 (RFLP assay)	data transformation	TgPgUs1 (RFLPGenotype)
TgPgUs2 (DNA extract)	RFLP assay	TgPgUs2 (RFLP assay)	data transformation	TgPgUs2 (RFLPGenotype)
TgPgUs3 (DNA extract)	RFLP assay	TgPgUs3 (RFLP assay)	data transformation	TgPgUs3 (RFLPGenotype)
TgPgUs4 (DNA extract)	RFLP assay	TgPgUs4 (RFLP assay)	data transformation	TgPgUs4 (RFLPGenotype)
TgPgUs6 (DNA extract)	RFLP assay	TgPgUs6 (RFLP assay)	data transformation	TgPgUs6 (RFLPGenotype)
TgPgUs7 (DNA extract)	RFLP assay	TgPgUs7 (RFLP assay)	data transformation	TgPgUs7 (RFLPGenotype)
TgPgUs8 (DNA extract)	RFLP assay	TgPgUs8 (RFLP assay)	data transformation	TgPgUs8 (RFLPGenotype)
TgPgUs9 (DNA extract)	RFLP assay	TgPgUs9 (RFLP assay)	data transformation	TgPgUs9 (RFLPGenotype)
TgPgUs12 (DNA extract)	RFLP assay	TgPgUs12 (RFLP assay)	data transformation	TgPgUs12 (RFLPGenotype)
TgPgUs13 (DNA extract)	RFLP assay	TgPgUs13 (RFLP assay)	data transformation	TgPgUs13 (RFLPGenotype)
TgPgUs112 (DNA extract)	RFLP assay	TgPgUs112 (RFLP assay)	data transformation	TgPgUs112 (RFLPGenotype)
TgPgUs113 (DNA extract)	RFLP assay	TgPgUs113 (RFLP assay)	data transformation	TgPgUs113 (RFLPGenotype)
TgPgUs180 (DNA extract)	RFLP assay	TgPgUs180 (RFLP assay)	data transformation	TgPgUs180 (RFLPGenotype)
TgPgUs181 (DNA extract)	RFLP assay	TgPgUs181 (RFLP assay)	data transformation	TgPgUs181 (RFLPGenotype)
TgPgUs130 (DNA extract)	RFLP assay	TgPgUs130 (RFLP assay)	data transformation	TgPgUs130 (RFLPGenotype)
TgPgUs132 (DNA extract)	RFLP assay	TgPgUs132 (RFLP assay)	data transformation	TgPgUs132 (RFLPGenotype)
TgPgUs133 (DNA extract)	RFLP assay	TgPgUs133 (RFLP assay)	data transformation	TgPgUs133 (RFLPGenotype)
TgPgUs134 (DNA extract)	RFLP assay	TgPgUs134 (RFLP assay)	data transformation	TgPgUs134 (RFLPGenotype)
TgPgUs135 (DNA extract)	RFLP assay	TgPgUs135 (RFLP assay)	data transformation	TgPgUs135 (RFLPGenotype)
TgPgUs136 (DNA extract)	RFLP assay	TgPgUs136 (RFLP assay)	data transformation	TgPgUs136 (RFLPGenotype)
TgPgUs138 (DNA extract)	RFLP assay	TgPgUs138 (RFLP assay)	data transformation	TgPgUs138 (RFLPGenotype)
TgPgUs139 (DNA extract)	RFLP assay	TgPgUs139 (RFLP assay)	data transformation	TgPgUs139 (RFLPGenotype)
TgPgUs140 (DNA extract)	RFLP assay	TgPgUs140 (RFLP assay)	data transformation	TgPgUs140 (RFLPGenotype)
TgPgUs141 (DNA extract)	RFLP assay	TgPgUs141 (RFLP assay)	data transformation	TgPgUs141 (RFLPGenotype)
TgPgUs142 (DNA extract)	RFLP assay	TgPgUs142 (RFLP assay)	data transformation	TgPgUs142 (RFLPGenotype)
TgPgUs143 (DNA extract)	RFLP assay	TgPgUs143 (RFLP assay)	data transformation	TgPgUs143 (RFLPGenotype)
TgPgUs144 (DNA extract)	RFLP assay	TgPgUs144 (RFLP assay)	data transformation	TgPgUs144 (RFLPGenotype)
TgPgUs145 (DNA extract)	RFLP assay	TgPgUs145 (RFLP assay)	data transformation	TgPgUs145 (RFLPGenotype)
TgPgUs146 (DNA extract)	RFLP assay	TgPgUs146 (RFLP assay)	data transformation	TgPgUs146 (RFLPGenotype)
TgPgUs147 (DNA extract)	RFLP assay	TgPgUs147 (RFLP assay)	data transformation	TgPgUs147 (RFLPGenotype)
TgPgUs148 (DNA extract)	RFLP assay	TgPgUs148 (RFLP assay)	data transformation	TgPgUs148 (RFLPGenotype)
TgPgUs149 (DNA extract)	RFLP assay	TgPgUs149 (RFLP assay)	data transformation	TgPgUs149 (RFLPGenotype)
TgPgUs150 (DNA extract)	RFLP assay	TgPgUs150 (RFLP assay)	data transformation	TgPgUs150 (RFLPGenotype)
TgPgUs151 (DNA extract)	RFLP assay	TgPgUs151 (RFLP assay)	data transformation	TgPgUs151 (RFLPGenotype)
TgPgUs152 (DNA extract)	RFLP assay	TgPgUs152 (RFLP assay)	data transformation	TgPgUs152 (RFLPGenotype)
TgPgUs153 (DNA extract)	RFLP assay	TgPgUs153 (RFLP assay)	data transformation	TgPgUs153 (RFLPGenotype)
TgPgUs154 (DNA extract)	RFLP assay	TgPgUs154 (RFLP assay)	data transformation	TgPgUs154 (RFLPGenotype)
TgPgUs155 (DNA extract)	RFLP assay	TgPgUs155 (RFLP assay)	data transformation	TgPgUs155 (RFLPGenotype)
TgPgUs156 (DNA extract)	RFLP assay	TgPgUs156 (RFLP assay)	data transformation	TgPgUs156 (RFLPGenotype)
TgPgUs157 (DNA extract)	RFLP assay	TgPgUs157 (RFLP assay)	data transformation	TgPgUs157 (RFLPGenotype)
TgPgUs158 (DNA extract)	RFLP assay	TgPgUs158 (RFLP assay)	data transformation	TgPgUs158 (RFLPGenotype)
TgPgUs159 (DNA extract)	RFLP assay	TgPgUs159 (RFLP assay)	data transformation	TgPgUs159 (RFLPGenotype)
TgPgUs162 (DNA extract)	RFLP assay	TgPgUs162 (RFLP assay)	data transformation	TgPgUs162 (RFLPGenotype)
TgPgUs164 (DNA extract)	RFLP assay	TgPgUs164 (RFLP assay)	data transformation	TgPgUs164 (RFLPGenotype)
TgPgUs166 (DNA extract)	RFLP assay	TgPgUs166 (RFLP assay)	data transformation	TgPgUs166 (RFLPGenotype)
TgPgUs167 (DNA extract)	RFLP assay	TgPgUs167 (RFLP assay)	data transformation	TgPgUs167 (RFLPGenotype)
TgPgUs168 (DNA extract)	RFLP assay	TgPgUs168 (RFLP assay)	data transformation	TgPgUs168 (RFLPGenotype)
TgPgUs171 (DNA extract)	RFLP assay	TgPgUs171 (RFLP assay)	data transformation	TgPgUs171 (RFLPGenotype)
TgPgUs173 (DNA extract)	RFLP assay	TgPgUs173 (RFLP assay)	data transformation	TgPgUs173 (RFLPGenotype)
TgPgUs174 (DNA extract)	RFLP assay	TgPgUs174 (RFLP assay)	data transformation	TgPgUs174 (RFLPGenotype)
TgPgUs175 (DNA extract)	RFLP assay	TgPgUs175 (RFLP assay)	data transformation	TgPgUs175 (RFLPGenotype)
TgPgUs176 (DNA extract)	RFLP assay	TgPgUs176 (RFLP assay)	data transformation	TgPgUs176 (RFLPGenotype)
TgPgUs177 (DNA extract)	RFLP assay	TgPgUs177 (RFLP assay)	data transformation	TgPgUs177 (RFLPGenotype)
TgPgUs179 (DNA extract)	RFLP assay	TgPgUs179 (RFLP assay)	data transformation	TgPgUs179 (RFLPGenotype)
TgPgUs18 (DNA extract)	RFLP assay	TgPgUs18 (RFLP assay)	data transformation	TgPgUs18 (RFLPGenotype)
TgPgUs41 (DNA extract)	RFLP assay	TgPgUs41 (RFLP assay)	data transformation	TgPgUs41 (RFLPGenotype)
TgPgUs61 (DNA extract)	RFLP assay	TgPgUs61 (RFLP assay)	data transformation	TgPgUs61 (RFLPGenotype)
TgPgUs70 (DNA extract)	RFLP assay	TgPgUs70 (RFLP assay)	data transformation	TgPgUs70 (RFLPGenotype)
TgPgUs71 (DNA extract)	RFLP assay	TgPgUs71 (RFLP assay)	data transformation	TgPgUs71 (RFLPGenotype)
TgPgUs87 (DNA extract)	RFLP assay	TgPgUs87 (RFLP assay)	data transformation	TgPgUs87 (RFLPGenotype)
TgPigUS195 (DNA extract)	RFLP assay	TgPigUS195 (RFLP assay)	data transformation	TgPigUS195 (RFLPGenotype)
TgPigUS196 (DNA extract)	RFLP assay	TgPigUS196 (RFLP assay)	data transformation	TgPigUS196 (RFLPGenotype)
TgPigUS198 (DNA extract)	RFLP assay	TgPigUS198 (RFLP assay)	data transformation	TgPigUS198 (RFLPGenotype)
TgPigUS199 (DNA extract)	RFLP assay	TgPigUS199 (RFLP assay)	data transformation	TgPigUS199 (RFLPGenotype)
TgPgUs109 (DNA extract)	RFLP assay	TgPgUs109 (RFLP assay)	data transformation	TgPgUs109 (RFLPGenotype)
TgPgUs110 (DNA extract)	RFLP assay	TgPgUs110 (RFLP assay)	data transformation	TgPgUs110 (RFLPGenotype)
TgPgUs111 (DNA extract)	RFLP assay	TgPgUs111 (RFLP assay)	data transformation	TgPgUs111 (RFLPGenotype)
P51 (DNA extract)	RFLP assay	P51 (RFLP assay)	data transformation	P51 (RFLPGenotype)
TgPgUs_100 (DNA extract)	RFLP assay	TgPgUs_100 (RFLP assay)	data transformation	TgPgUs_100 (RFLPGenotype)
TgPgUs_101 (DNA extract)	RFLP assay	TgPgUs_101 (RFLP assay)	data transformation	TgPgUs_101 (RFLPGenotype)
TgPgUs_102 (DNA extract)	RFLP assay	TgPgUs_102 (RFLP assay)	data transformation	TgPgUs_102 (RFLPGenotype)
TgPgUs_103 (DNA extract)	RFLP assay	TgPgUs_103 (RFLP assay)	data transformation	TgPgUs_103 (RFLPGenotype)
TgPgUs_104 (DNA extract)	RFLP assay	TgPgUs_104 (RFLP assay)	data transformation	TgPgUs_104 (RFLPGenotype)
TgPgUs_105 (DNA extract)	RFLP assay	TgPgUs_105 (RFLP assay)	data transformation	TgPgUs_105 (RFLPGenotype)
TgPgUs_106 (DNA extract)	RFLP assay	TgPgUs_106 (RFLP assay)	data transformation	TgPgUs_106 (RFLPGenotype)
TgPgUs_107 (DNA extract)	RFLP assay	TgPgUs_107 (RFLP assay)	data transformation	TgPgUs_107 (RFLPGenotype)
TgPgUs_108 (DNA extract)	RFLP assay	TgPgUs_108 (RFLP assay)	data transformation	TgPgUs_108 (RFLPGenotype)
TgPgUs_114 (DNA extract)	RFLP assay	TgPgUs_114 (RFLP assay)	data transformation	TgPgUs_114 (RFLPGenotype)
TgPgUs_115 (DNA extract)	RFLP assay	TgPgUs_115 (RFLP assay)	data transformation	TgPgUs_115 (RFLPGenotype)
TgPgUs_116 (DNA extract)	RFLP assay	TgPgUs_116 (RFLP assay)	data transformation	TgPgUs_116 (RFLPGenotype)
TgPgUs_117 (DNA extract)	RFLP assay	TgPgUs_117 (RFLP assay)	data transformation	TgPgUs_117 (RFLPGenotype)
TgPgUs_118 (DNA extract)	RFLP assay	TgPgUs_118 (RFLP assay)	data transformation	TgPgUs_118 (RFLPGenotype)
TgPgUs_119 (DNA extract)	RFLP assay	TgPgUs_119 (RFLP assay)	data transformation	TgPgUs_119 (RFLPGenotype)
TgPgUs_120 (DNA extract)	RFLP assay	TgPgUs_120 (RFLP assay)	data transformation	TgPgUs_120 (RFLPGenotype)
TgPgUs_121 (DNA extract)	RFLP assay	TgPgUs_121 (RFLP assay)	data transformation	TgPgUs_121 (RFLPGenotype)
TgPgUs_122 (DNA extract)	RFLP assay	TgPgUs_122 (RFLP assay)	data transformation	TgPgUs_122 (RFLPGenotype)
TgPgUs_123 (DNA extract)	RFLP assay	TgPgUs_123 (RFLP assay)	data transformation	TgPgUs_123 (RFLPGenotype)
TgPgUs_124 (DNA extract)	RFLP assay	TgPgUs_124 (RFLP assay)	data transformation	TgPgUs_124 (RFLPGenotype)
TgPgUs_125 (DNA extract)	RFLP assay	TgPgUs_125 (RFLP assay)	data transformation	TgPgUs_125 (RFLPGenotype)
TgPgUs_126 (DNA extract)	RFLP assay	TgPgUs_126 (RFLP assay)	data transformation	TgPgUs_126 (RFLPGenotype)
TgPgUs_127 (DNA extract)	RFLP assay	TgPgUs_127 (RFLP assay)	data transformation	TgPgUs_127 (RFLPGenotype)
TgPgUs_128 (DNA extract)	RFLP assay	TgPgUs_128 (RFLP assay)	data transformation	TgPgUs_128 (RFLPGenotype)
TgPgUs27 (DNA extract)	RFLP assay	TgPgUs27 (RFLP assay)	data transformation	TgPgUs27 (RFLPGenotype)
TgPgUs32 (DNA extract)	RFLP assay	TgPgUs32 (RFLP assay)	data transformation	TgPgUs32 (RFLPGenotype)
TgPgUs36 (DNA extract)	RFLP assay	TgPgUs36 (RFLP assay)	data transformation	TgPgUs36 (RFLPGenotype)
TgPgUs37 (DNA extract)	RFLP assay	TgPgUs37 (RFLP assay)	data transformation	TgPgUs37 (RFLPGenotype)
TgPgUs39 (DNA extract)	RFLP assay	TgPgUs39 (RFLP assay)	data transformation	TgPgUs39 (RFLPGenotype)
TgPgUs44 (DNA extract)	RFLP assay	TgPgUs44 (RFLP assay)	data transformation	TgPgUs44 (RFLPGenotype)
TgPgUs48 (DNA extract)	RFLP assay	TgPgUs48 (RFLP assay)	data transformation	TgPgUs48 (RFLPGenotype)
TgPgUs49 (DNA extract)	RFLP assay	TgPgUs49 (RFLP assay)	data transformation	TgPgUs49 (RFLPGenotype)
TgPgUs59 (DNA extract)	RFLP assay	TgPgUs59 (RFLP assay)	data transformation	TgPgUs59 (RFLPGenotype)
TgPgUs69 (DNA extract)	RFLP assay	TgPgUs69 (RFLP assay)	data transformation	TgPgUs69 (RFLPGenotype)
TgPgUs93 (DNA extract)	RFLP assay	TgPgUs93 (RFLP assay)	data transformation	TgPgUs93 (RFLPGenotype)
TgPgUs97 (DNA extract)	RFLP assay	TgPgUs97 (RFLP assay)	data transformation	TgPgUs97 (RFLPGenotype)
TgPgUs_16 (DNA extract)	RFLP assay	TgPgUs_16 (RFLP assay)	data transformation	TgPgUs_16 (RFLPGenotype)
TgPgUs_20 (DNA extract)	RFLP assay	TgPgUs_20 (RFLP assay)	data transformation	TgPgUs_20 (RFLPGenotype)
TgPgUs_25 (DNA extract)	RFLP assay	TgPgUs_25 (RFLP assay)	data transformation	TgPgUs_25 (RFLPGenotype)
TgPgUs_26 (DNA extract)	RFLP assay	TgPgUs_26 (RFLP assay)	data transformation	TgPgUs_26 (RFLPGenotype)
TgPgUs_40 (DNA extract)	RFLP assay	TgPgUs_40 (RFLP assay)	data transformation	TgPgUs_40 (RFLPGenotype)
TgPgUs_42 (DNA extract)	RFLP assay	TgPgUs_42 (RFLP assay)	data transformation	TgPgUs_42 (RFLPGenotype)
TgPgUs_47 (DNA extract)	RFLP assay	TgPgUs_47 (RFLP assay)	data transformation	TgPgUs_47 (RFLPGenotype)
TgPgUs_60 (DNA extract)	RFLP assay	TgPgUs_60 (RFLP assay)	data transformation	TgPgUs_60 (RFLPGenotype)
TgPgUs_65 (DNA extract)	RFLP assay	TgPgUs_65 (RFLP assay)	data transformation	TgPgUs_65 (RFLPGenotype)
TgPgUs_75 (DNA extract)	RFLP assay	TgPgUs_75 (RFLP assay)	data transformation	TgPgUs_75 (RFLPGenotype)
TgPgUs_78 (DNA extract)	RFLP assay	TgPgUs_78 (RFLP assay)	data transformation	TgPgUs_78 (RFLPGenotype)
TgPgUs_79 (DNA extract)	RFLP assay	TgPgUs_79 (RFLP assay)	data transformation	TgPgUs_79 (RFLPGenotype)
TgPgUs_80 (DNA extract)	RFLP assay	TgPgUs_80 (RFLP assay)	data transformation	TgPgUs_80 (RFLPGenotype)
TgPgUs_82 (DNA extract)	RFLP assay	TgPgUs_82 (RFLP assay)	data transformation	TgPgUs_82 (RFLPGenotype)
