sample_name	description			host_age	role	altitude	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	country	depth	elevation	env_biome	env_feature	env_matter	host_common_name	host_subject_id	host_taxid	larval_tetracycline	latitude	longitude	sex
1064.G.CV02	"Sample 1064.G.CV02 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV02	7460	FALSE	18.22	-65.99	female
1064.G.CV03	"Sample 1064.G.CV03 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV03	7460	FALSE	18.22	-65.99	female
1064.G.CV04	"Sample 1064.G.CV04 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV04	7460	FALSE	18.22	-65.99	female
1064.G.CV05	"Sample 1064.G.CV05 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV05	7460	FALSE	18.22	-65.99	female
1064.G.CV06	"Sample 1064.G.CV06 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV06	7460	FALSE	18.22	-65.99	female
1064.G.CV10	"Sample 1064.G.CV10 : Whole intestine tissue, with food content."			4 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV10	7460	FALSE	18.22	-65.99	female
1064.G.CV108	"Sample 1064.G.CV108 : Whole intestine tissue, with food content."				queen	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV108	7460	TRUE	18.22	-65.99	female
1064.G.CV11	"Sample 1064.G.CV11 : Whole intestine tissue, with food content."			4 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV11	7460	FALSE	18.22	-65.99	female
1064.G.CV12	"Sample 1064.G.CV12 : Whole intestine tissue, with food content."			4 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV12	7460	FALSE	18.22	-65.99	female
1064.G.CV209	"Sample 1064.G.CV209 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV209	7460	FALSE	18.22	-65.99	female
