Extract Name	Protocol REF	Assay Name
SAMN02677138	DNA Sequencing	Thailand_VKBT-72 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-73 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-75 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-94 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-95 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-98 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKBT-99 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKPR-11 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKTS-36 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKTS-37 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKTS-38 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKTS-39 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKTS-45 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKTS-46 (DNA Sequencing)
SAMN02677138	DNA Sequencing	Thailand_VKTS-52 (DNA Sequencing)
SAMN02677138	DNA Sequencing	XUA045 (DNA Sequencing)
SAMN02677138	DNA Sequencing	XUA070 (DNA Sequencing)
SAMN02677138	DNA Sequencing	XUC014 (DNA Sequencing)
SAMN02677138	DNA Sequencing	XUC030 (DNA Sequencing)
SAMN02677138	DNA Sequencing	XUC063 (DNA Sequencing)
SAMN02677138	DNA Sequencing	XUC090 (DNA Sequencing)
