sample_name	description			altitude	anonymized_name	assigned_from_geo	body_habitat	body_product	body_site	collection_timestamp	country	day	depth	dna_extracted	elevation	env_biome	env_feature	env_matter	extracted_dna_avail_now	family	host_common_name	host_subject_id	host_taxid	house	house_day_subject_surface	house_day_surface	house_surface	latitude	life_stage	longitude	move_time	moved	notes	number_children	number_residents_human	percent_adult_residents	percent_male	pet_farm_animal	physical_specimen_location	physical_specimen_remaining	public	required_sample_info_status	sample_order	sample_progress	sample_tube_id	sample_type	sex	source	source1	sourcesink	subject	subject_surface	surface	taxon_id	time	title
2192.H01a.Bedroom.Floor.244.lane2.NoIndex.L002	Sample 2192.H01a.Bedroom.Floor.244.lane2.NoIndex.L002 			0	H01a.unknown	True				2012-02-21 00:00:00	GAZ:United States of America	D11	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D11.House_01a.Bedroom_Floor	H01a.D11.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False	2 Guests - 1 Males, 1 Female	2	4	0.5	0.75	none	ANL	True	True	completed	175	sequenced (16S)	244	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	7:45am	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.268.lane2.NoIndex.L002	Sample 2192.H01a.Bedroom.Floor.268.lane2.NoIndex.L002 			0	H01a.unknown	True				2012-02-22 00:00:00	GAZ:United States of America	D12	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D12.House_01a.Bedroom_Floor	H01a.D12.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	193	sequenced (16S)	268	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	8:30am	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.28.lane1.NoIndex.L001	Sample 2192.H01a.Bedroom.Floor.28.lane1.NoIndex.L001 			0	H01a.unknown	True				2012-02-11 00:00:00	GAZ:United States of America	D02	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D02.House_01a.Bedroom_Floor	H01a.D02.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	22	sequenced (16S)	28	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	7:00AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.292.lane2.NoIndex.L002	Sample 2192.H01a.Bedroom.Floor.292.lane2.NoIndex.L002 			0	H01a.unknown	True				2012-02-24 00:00:00	GAZ:United States of America	D13	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D13.House_01a.Bedroom_Floor	H01a.D13.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	211	sequenced (16S)	292	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	9:30am	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.316.lane2.NoIndex.L002	Sample 2192.H01a.Bedroom.Floor.316.lane2.NoIndex.L002 			0	H01a.unknown	True				2012-02-26 00:00:00	GAZ:United States of America	D14	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D14.House_01a.Bedroom_Floor	H01a.D14.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False	Turtle Tank Cleaned - By Kitchen Sink	2	4	0.5	0.75	none	ANL	True	True	completed	229	sequenced (16S)	316	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	9:30am	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.4.lane1.NoIndex.L001	Sample 2192.H01a.Bedroom.Floor.4.lane1.NoIndex.L001 			0	H01a.unknown	True				2012-02-10 00:00:00	GAZ:United States of America	D01	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D01.House_01a.Bedroom_Floor	H01a.D01.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	4	sequenced (16S)	4	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	9:00AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.52.lane1.NoIndex.L001	Sample 2192.H01a.Bedroom.Floor.52.lane1.NoIndex.L001 			0	H01a.unknown	True				2012-02-12 00:00:00	GAZ:United States of America	D03	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D03.House_01a.Bedroom_Floor	H01a.D03.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	40	sequenced (16S)	52	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	7:45PM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.76.lane1.NoIndex.L001	Sample 2192.H01a.Bedroom.Floor.76.lane1.NoIndex.L001 			0	H01a.unknown	True				2012-02-13 00:00:00	GAZ:United States of America	D04	0	True	181.32	ENVO:urban biome	ENVO:anthropogenic environmental material	ENVO:dust	True	1	human		1256227	H01a	H01a.D04.House_01a.Bedroom_Floor	H01a.D04.Bedroom_Floor	H01a.Bedroom_Floor	41.88		-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	58	sequenced (16S)	76	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	1256227	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Foot.104.lane2.NoIndex.L002	Sample 2192.H01a.Foot.104.lane2.NoIndex.L002 			0	H01a.Foot	True	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-02-14 00:00:00	GAZ:United States of America	D05	0	True	181.32	ENVO:urban biome	ENVO:human-associated habitat	ENVO:sebum	True	1	human	Person_01.1	9606	H01a	H01a.D05.Person_01.1.Foot	H01a.D05.Foot	H01a.Foot	41.88	adult	-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	80	sequenced (16S)	104	XXQIITAXX	male	Person	Person	source	Person_01.1	Person_01.1.Foot	Foot	539655	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Foot.107.lane2.NoIndex.L002	Sample 2192.H01a.Foot.107.lane2.NoIndex.L002 			0	H01a.Foot	True	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-02-14 00:00:00	GAZ:United States of America	D05	0	True	181.32	ENVO:urban biome	ENVO:human-associated habitat	ENVO:sebum	True	1	human	Person_01.2	9606	H01a	H01a.D05.Person_01.2.Foot	H01a.D05.Foot	H01a.Foot	41.88	adult	-87.63		False		2	4	0.5	0.75	none	ANL	True	True	completed	83	sequenced (16S)	107	XXQIITAXX	female	Person	Person	source	Person_01.2	Person_01.2.Foot	Foot	539655	7:30AM	Gilbert_house_forensics_BE
