Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[MiXS_host_age]	Characteristics[BFO_0000023]	Characteristics[MiXS_alt]	Characteristics[MiXS_host_body_habitat]	Characteristics[OBI_0001627]	Characteristics[ENVO_00000176]	Characteristics[MiXS_env_biome]	Characteristics[MiXS_env_feature]	Characteristics[MiXS_host_common_name]	Characteristics[MiXS_host_taxid]	Characteristics[OBI_0001620]	Characteristics[OBI_0001621]	Characteristics[PATO_0000047]	Characteristics[GAZ_00000448]	Protocol REF	Sample Name	Material Type	Term Source REF	Term Accession Number	Description	Characteristics[MiXS_host_body_product]	Characteristics[MiXS_host_body_site]	Characteristics[MiXS_env_material]	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
G.GVR166	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.GVR166	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.GVR166	DNA extract	OBI	OBI_0001051
G.GVR167	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.GVR167	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.GVR167	DNA extract	OBI	OBI_0001051
G.GVR168	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.GVR168	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.GVR168	DNA extract	OBI	OBI_0001051
G.GVR169	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.GVR169	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:intestine	ENVO:organic material	DNA extraction	Extract 1064.G.GVR169	DNA extract	OBI	OBI_0001051
G.GVR170	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.G.GVR170	sample from organism	OBI	OBI_0000671	"Whole intestine tissue, with food content."	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.G.GVR170	DNA extract	OBI	OBI_0001051
H-CJV227	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV227	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV227	DNA extract	OBI	OBI_0001051
H-CJV228	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV228	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV228	DNA extract	OBI	OBI_0001051
H-CJV229	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV229	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV229	DNA extract	OBI	OBI_0001051
H-CJV230	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV230	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV230	DNA extract	OBI	OBI_0001051
H-CJV231	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV231	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV231	DNA extract	OBI	OBI_0001051
H-CJV232	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CJV232	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CJV232	DNA extract	OBI	OBI_0001051
H-CV01	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV01	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV01	DNA extract	OBI	OBI_0001051
H-CV02	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV02	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV02	DNA extract	OBI	OBI_0001051
H-CV03	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV03	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV03	DNA extract	OBI	OBI_0001051
H-CV04	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV04	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV04	DNA extract	OBI	OBI_0001051
H-CV05	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV05	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV05	DNA extract	OBI	OBI_0001051
H-CV06	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV06	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV06	DNA extract	OBI	OBI_0001051
H-CV209	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV209	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV209	DNA extract	OBI	OBI_0001051
H-CV210	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV210	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV210	DNA extract	OBI	OBI_0001051
H-CV211	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV211	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV211	DNA extract	OBI	OBI_0001051
H-CV212	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV212	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV212	DNA extract	OBI	OBI_0001051
H-CV213	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV213	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV213	DNA extract	OBI	OBI_0001051
H-CV214	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV214	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV214	DNA extract	OBI	OBI_0001051
H-CV239	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV239	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV239	DNA extract	OBI	OBI_0001051
H-CV240	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV240	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV240	DNA extract	OBI	OBI_0001051
H-CV241	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV241	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV241	DNA extract	OBI	OBI_0001051
H-CV242	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV242	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV242	DNA extract	OBI	OBI_0001051
H-CV243	host organism	GO	GO_0018995	1	worker	0	UBERON:multi-cellular organism	GAZ:Puerto Rico	43.1	ENVO:village biome	ENVO:insecta-associated habitat	honey bee	7460	18.22	-65.99	female	Gurabo	sample collection	1064.H.CV243	sample from organism	OBI	OBI_0000671	Complete Head	UBERON:tissue	UBERON:head	ENVO:organic material	DNA extraction	Extract 1064.H.CV243	DNA extract	OBI	OBI_0001051
