sample_name	description	source_mt_override	sample_mt_override	age	age_group	altitude	body_habitat	body_product	body_site	collection_timestamp	country	elevation	env_biome	env_feature	env_matter	host_common_name	sex	host_taxid	latitude	longitude
1064.G.CV264	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV265	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV266	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV267	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV268	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV27	Whole intestine tissue, with food content.			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	1/1/2050 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV281	Whole intestine tissue, with food content.			8 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	6/13/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV282	Whole intestine tissue, with food content.			8 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	6/13/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV283	Whole intestine tissue, with food content.			8 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	6/13/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV284	Whole intestine tissue, with food content.			8 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	6/13/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
