sample_name	description			host_age	role	altitude	anonymized_name	assigned_from_geo	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	common_name	country	depth	dna_extracted	elevation	env_biome	env_feature	env_matter	host_common_name	host_scientific_name	host_subject_id	host_taxid	larval_tetracycline	latitude	longitude	physical_specimen_location	physical_specimen_remaining	public	required_sample_info_status	sample_name_in_tube	sample_type	sex	taxon_id	title	village
1064.G.CJV205	Sample 1064.G.CJV205 : Whole intestine tissue, with food content.			21 days	worker	0	G.CJV205	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV205	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	211	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV206	Sample 1064.G.CJV206 : Whole intestine tissue, with food content.			21 days	worker	0	G.CJV206	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV206	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	213	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV207	Sample 1064.G.CJV207 : Whole intestine tissue, with food content.				queen	0	G.CJV207	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-23 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV207	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	141	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV227	Sample 1064.G.CJV227 : Whole intestine tissue, with food content.			1 days	worker	0	G.CJV227	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-16 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV227	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	227	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV228	Sample 1064.G.CJV228 : Whole intestine tissue, with food content.			1 days	worker	0	G.CJV228	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-16 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV228	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	229	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV229	Sample 1064.G.CJV229 : Whole intestine tissue, with food content.			1 days	worker	0	G.CJV229	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-16 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV229	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	231	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV230	Sample 1064.G.CJV230 : Whole intestine tissue, with food content.			1 days	worker	0	G.CJV230	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-16 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV230	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	233	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV231	Sample 1064.G.CJV231 : Whole intestine tissue, with food content.			1 days	worker	0	G.CJV231	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-16 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV231	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	235	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV232	Sample 1064.G.CJV232 : Whole intestine tissue, with food content.			1 days	worker	0	G.CJV232	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-16 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CJV232	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	237	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV01	Sample 1064.G.CV01 : Whole intestine tissue, with food content.			1 days	worker	0	G.CV01	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV01	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	30	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV02	Sample 1064.G.CV02 : Whole intestine tissue, with food content.			1 days	worker	0	G.CV02	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV02	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	32	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV03	Sample 1064.G.CV03 : Whole intestine tissue, with food content.			1 days	worker	0	G.CV03	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV03	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	34	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
