Extract Name	Protocol REF	Protocol REF	Assay Name
Extract 1064.G.CV304	DNA Sequencing	metagenomics analysis	1064.G.CV304 (OTU)
Extract 1064.G.CV305	DNA Sequencing	metagenomics analysis	1064.G.CV305 (OTU)
Extract 1064.G.CV306	DNA Sequencing	metagenomics analysis	1064.G.CV306 (OTU)
Extract 1064.G.CV307	DNA Sequencing	metagenomics analysis	1064.G.CV307 (OTU)
Extract 1064.G.CV308	DNA Sequencing	metagenomics analysis	1064.G.CV308 (OTU)
Extract 1064.G.CV309	DNA Sequencing	metagenomics analysis	1064.G.CV309 (OTU)
Extract 1064.G.CV310	DNA Sequencing	metagenomics analysis	1064.G.CV310 (OTU)
Extract 1064.G.CV311	DNA Sequencing	metagenomics analysis	1064.G.CV311 (OTU)
Extract 1064.G.CV312	DNA Sequencing	metagenomics analysis	1064.G.CV312 (OTU)
Extract 1064.G.CV313	DNA Sequencing	metagenomics analysis	1064.G.CV313 (OTU)
Extract 1064.G.CV314	DNA Sequencing	metagenomics analysis	1064.G.CV314 (OTU)
Extract 1064.G.CV315	DNA Sequencing	metagenomics analysis	1064.G.CV315 (OTU)
Extract 1064.G.CV316	DNA Sequencing	metagenomics analysis	1064.G.CV316 (OTU)
Extract 1064.G.CV317	DNA Sequencing	metagenomics analysis	1064.G.CV317 (OTU)
Extract 1064.G.CV318	DNA Sequencing	metagenomics analysis	1064.G.CV318 (OTU)
Extract 1064.G.CV319	DNA Sequencing	metagenomics analysis	1064.G.CV319 (OTU)
Extract 1064.G.CV320	DNA Sequencing	metagenomics analysis	1064.G.CV320 (OTU)
Extract 1064.G.CV321	DNA Sequencing	metagenomics analysis	1064.G.CV321 (OTU)
Extract 1064.G.CV322	DNA Sequencing	metagenomics analysis	1064.G.CV322 (OTU)
Extract 1064.G.CV323	DNA Sequencing	metagenomics analysis	1064.G.CV323 (OTU)
Extract 1064.G.CV324	DNA Sequencing	metagenomics analysis	1064.G.CV324 (OTU)
Extract 1064.G.CV325	DNA Sequencing	metagenomics analysis	1064.G.CV325 (OTU)
Extract 1064.G.CV326	DNA Sequencing	metagenomics analysis	1064.G.CV326 (OTU)
Extract 1064.G.CV327	DNA Sequencing	metagenomics analysis	1064.G.CV327 (OTU)
Extract 1064.G.CV328	DNA Sequencing	metagenomics analysis	1064.G.CV328 (OTU)
Extract 1064.G.CV329	DNA Sequencing	metagenomics analysis	1064.G.CV329 (OTU)
Extract 1064.G.CV330	DNA Sequencing	metagenomics analysis	1064.G.CV330 (OTU)
Extract 1064.G.CV331	DNA Sequencing	metagenomics analysis	1064.G.CV331 (OTU)
Extract 1064.G.CV332	DNA Sequencing	metagenomics analysis	1064.G.CV332 (OTU)
Extract 1064.G.CV333	DNA Sequencing	metagenomics analysis	1064.G.CV333 (OTU)
Extract 1064.G.CV334	DNA Sequencing	metagenomics analysis	1064.G.CV334 (OTU)
Extract 1064.G.CV335	DNA Sequencing	metagenomics analysis	1064.G.CV335 (OTU)
Extract 1064.G.CV336	DNA Sequencing	metagenomics analysis	1064.G.CV336 (OTU)
Extract 1064.G.CV337	DNA Sequencing	metagenomics analysis	1064.G.CV337 (OTU)
Extract 1064.G.CV338	DNA Sequencing	metagenomics analysis	1064.G.CV338 (OTU)
Extract 1064.G.CV339	DNA Sequencing	metagenomics analysis	1064.G.CV339 (OTU)
Extract 1064.G.CV340	DNA Sequencing	metagenomics analysis	1064.G.CV340 (OTU)
Extract 1064.G.CV341	DNA Sequencing	metagenomics analysis	1064.G.CV341 (OTU)
Extract 1064.G.CV342	DNA Sequencing	metagenomics analysis	1064.G.CV342 (OTU)
Extract 1064.G.CV343	DNA Sequencing	metagenomics analysis	1064.G.CV343 (OTU)
Extract 1064.G.CV344	DNA Sequencing	metagenomics analysis	1064.G.CV344 (OTU)
