Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Term Source REF	Term Accession Number	Comment [environmental feature]	Comment[subject??]	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Characteristics[OPL_0000232]	Protocol REF	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
Subject 29	host organism	GO	GO_0018995	Indochina	GAZ	http://purl.obolibrary.org/obo/GAZ_00000859	MRA-347	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Indochina I	sample collection	EUSTDY0004-1.29	Sample Indochina I	sample from organism	OBI	OBI_0000671	extraction	Extract Indochina I	DNA extract	OBI	OBI_0001051
Subject 30	host organism	GO	GO_0018995	Kenya	GAZ	http://purl.obolibrary.org/obo/GAZ_00001101	X. Su	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum M24	sample collection	EUSTDY0004-1.30	Sample M24	sample from organism	OBI	OBI_0000671	extraction	Extract M24	DNA extract	OBI	OBI_0001051
Subject 31	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.008 10B	sample collection	EUSTDY0004-1.31	Sample Malawi CF04.008 10B	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.008 10B	DNA extract	OBI	OBI_0001051
Subject 32	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.008 12G	sample collection	EUSTDY0004-1.32	Sample Malawi CF04.008 12G	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.008 12G	DNA extract	OBI	OBI_0001051
Subject 33	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.008 1F	sample collection	EUSTDY0004-1.33	Sample Malawi CF04.008 1F	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.008 1F	DNA extract	OBI	OBI_0001051
Subject 34	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.008 2G	sample collection	EUSTDY0004-1.34	Sample Malawi CF04.008 2G	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.008 2G	DNA extract	OBI	OBI_0001051
Subject 35	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.008 7H	sample collection	EUSTDY0004-1.35	Sample Malawi CF04.008 7H	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.008 7H	DNA extract	OBI	OBI_0001051
Subject 36	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.009	sample collection	EUSTDY0004-1.36	Sample Malawi CF04.009	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.009	DNA extract	OBI	OBI_0001051
Subject 37	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.009 1G	sample collection	EUSTDY0004-1.37	Sample Malawi CF04.009 1G	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.009 1G	DNA extract	OBI	OBI_0001051
Subject 38	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.009 6D	sample collection	EUSTDY0004-1.38	Sample Malawi CF04.009 6D	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.009 6D	DNA extract	OBI	OBI_0001051
