Sample Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Protocol REF	Data Transformation Name
ERS011012	DNA extraction	DNA Sequencing	ERS011012 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_364 (Sequence Variation)
ERS010079	DNA extraction	DNA Sequencing	ERS010079 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_410 (Sequence Variation)
ERS011019	DNA extraction	DNA Sequencing	ERS011019 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_437 (Sequence Variation)
ERS009970	DNA extraction	DNA Sequencing	ERS009970 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_467 (Sequence Variation)
ERS009971	DNA extraction	DNA Sequencing	ERS009971 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_470 (Sequence Variation)
ERS010078	DNA extraction	DNA Sequencing	ERS010078 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_474 (Sequence Variation)
ERS010076	DNA extraction	DNA Sequencing	ERS010076 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_480 (Sequence Variation)
ERS010069	DNA extraction	DNA Sequencing	ERS010069 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_487 (Sequence Variation)
ERS010074	DNA extraction	DNA Sequencing	ERS010074 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_490 (Sequence Variation)
ERS011014	DNA extraction	DNA Sequencing	ERS011014 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_499 (Sequence Variation)
ERS011008	DNA extraction	DNA Sequencing	ERS011008 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_501 (Sequence Variation)
ERS009676	DNA extraction	DNA Sequencing	ERS009676 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_504 (Sequence Variation)
ERS009972	DNA extraction	DNA Sequencing	ERS009972 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_301 (Sequence Variation)
ERS009672	DNA extraction	DNA Sequencing	ERS009672 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_303 (Sequence Variation)
ERS011011	DNA extraction	DNA Sequencing	ERS011011 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_331 (Sequence Variation)
ERS011010	DNA extraction	DNA Sequencing	ERS011010 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_355 (Sequence Variation)
ERS009973	DNA extraction	DNA Sequencing	ERS009973 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_433 (Sequence Variation)
ERS010068	DNA extraction	DNA Sequencing	ERS010068 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_440 (Sequence Variation)
ERS010077	DNA extraction	DNA Sequencing	ERS010077 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_456 (Sequence Variation)
ERS011005	DNA extraction	DNA Sequencing	ERS011005 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_461 (Sequence Variation)
ERS011018	DNA extraction	DNA Sequencing	ERS011018 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_700 (Sequence Variation)
ERS010080	DNA extraction	DNA Sequencing	ERS010080 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_704 (Sequence Variation)
ERS011020	DNA extraction	DNA Sequencing	ERS011020 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_708 (Sequence Variation)
ERS009975	DNA extraction	DNA Sequencing	ERS009975 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_759 (Sequence Variation)
ERS009673	DNA extraction	DNA Sequencing	ERS009673 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_373 (Sequence Variation)
ERS011015	DNA extraction	DNA Sequencing	ERS011015 DNASeq Assay	data collection	sequence analysis data transformation	TRIPS_482 (Sequence Variation)
