Sample Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Protocol REF	Data Transformation Name
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30111110026 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_10-E-05 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_1067-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_1086-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_118-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_161-04 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_165-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_203-04 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_21-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_267-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100438-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100438-B (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100441-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100441-B (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100443-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Columbia_30102100443-B (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_31A-03 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_32-E-03 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_330-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_434-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_533-07 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_55-03 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_566-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_63-08 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_760-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_938-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Mexico_980-A (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil01 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil02 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil08 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil12 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil13 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil15 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil17 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil22 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil24 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil25 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil27 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil29 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil30 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil31 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil32 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil33 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil34 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil35 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazil87 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Brazl03 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	DTS0721 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	DTS0791 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	DTS0830 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	DTS0839 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	IndiaNYC (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	China_LZCH-13 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	China_LZCH-20 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	China_LZCH-36 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	China_LZCH-4 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	China_NB-13-1 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	China_NB-15 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	China_NB-16 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	China_NB-17 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Nicaragua-462 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Vietnam_ONG-461 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_Pakchong-460 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Panama-458 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru00622 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru00692 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru00699 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru06 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru07 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru08 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru09 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru10 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru1008 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru1021 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru1022 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru2025 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru257 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru258 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru259 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru260 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru261 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru262 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3043_D0 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3043_D106 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3043_D87 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3133 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3136 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3232 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3270_D0 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3270_D43 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3270_D59 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3280 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru3323 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru4017 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru4023 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru852 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru858 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru869 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru872 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Peru99622 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PNG16 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PNG17 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PNG58 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PNG72 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PNG73 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PVRVL1991 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PVRVL1997 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PVRVL2000 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PVRVL2003 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PVXMQ2006 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PVXMW2006 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	PVXMZ2010 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	ST01 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	ST02 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-100 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-101 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-106 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-58 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-71 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-72 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-73 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-75 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-94 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-95 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-98 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKBT-99 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKPR-11 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKTS-36 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKTS-37 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKTS-38 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKTS-39 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKTS-45 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKTS-46 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	Thailand_VKTS-52 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	XUA045 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	XUA070 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	XUC014 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	XUC030 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	XUC063 (Sequence Variation)
SAMN02677138	DNA extraction	DNA Sequencing	SAMN02677138 DNASeq Assay	data collection	sequence analysis data transformation	XUC090 (Sequence Variation)
